Campaign,Number,Period,low,high
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,8,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,9,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,16,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,14,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,3,H,-350,-50
SLP-2004,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,8,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,15,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,9,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,8,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,11,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,25,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,21,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,7,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,8,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,15,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,8,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,1,H-M,-350,1500
SLP-2004,2,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2004,10,H-M,-350,1500
SLP-2004,4,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2004,2,H-M,-350,1500
SLP-2004,2,H-M,-350,1500
SLP-2004,2,H-M,-350,1500
SLP-2004,19,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2004,4,H-M,-350,1500
SLP-2005,8,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,10,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,5,H-M,-350,1500
SLP-2005,8,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,4,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,11,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,12,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,28,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,15,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2004,2,H-M,-350,1500
SLP-2004,2,H-M,-350,1500
SLP-2004,5,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2005,13,H-M,-350,1500
SLP-2005,6,H-M,-350,1500
SLP-2005,5,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,4,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,5,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2005,5,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2004,3,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2004,1,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,2,H-M,-350,1500
SLP-2005,3,H-M,-350,1500
SLP-2005,11,H-M,-350,1500
SLP-2004,4,H-M,-350,1500
SLP-2004,6,H-M,-350,1500
SLP-2004,3,H-M,-350,1500
SLP-2004,3,H-M,-350,1500
SLP-2004,7,H-M,-350,1500
SLP-2004,8,H-M,-350,1500
SLP-2005,1,H-M,-350,1500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2005,1,H-R,-350,500
SLP-2005,1,H-R,-350,500
SLP-2005,1,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,5,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,6,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,7,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,10,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2005,1,H-R,-350,500
SLP-2005,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,7,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2005,1,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,12,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,8,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,8,H-R,-350,500
SLP-2004,17,H-R,-350,500
SLP-2004,5,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,5,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,30,H-R,-350,500
SLP-2004,13,H-R,-350,500
SLP-2004,6,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,13,H-R,-350,500
SLP-2004,4,H-R,-350,500
SLP-2004,6,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,5,H-R,-350,500
SLP-2004,5,H-R,-350,500
SLP-2004,9,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,8,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,9,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,8,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,2,H-R,-350,500
SLP-2004,1,H-R,-350,500
SLP-2004,5,H-R,-350,500
SLP-2004,8,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,3,H-R,-350,500
SLP-2004,10,H-R,-350,500
